District,Chiefdom,Name of PHU,Community,School Name,School Enrollment,EMIS Number,School Status
KOINADUGU,DIANG,Badala MCHP,DIANG BADALA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,189,2301-2-05012,Old
KOINADUGU,DIANG,Badala MCHP,ISSAIA,DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL_2026_new,126,2303-2-05053,Old
KOINADUGU,DIANG,Dalakuru CHP,DALAKURU (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,150,2301-2-05000,Old
KOINADUGU,DIANG,Diang Kamaroun MCHP,KANSIKORO (DIANG),LAKE SONFON PRIMARY SCHOOL_2026_new,231,2301-2-05014,Old
KOINADUGU,DIANG,Diang Kamaroun MCHP,KOROMANTOR / KAMARON (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,293,2301-2-05015,Old
KOINADUGU,DIANG,Diang Kamaroun MCHP,SINGBEYA,ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,178,9999-9-99999,New
KOINADUGU,DIANG,Diang Sokuralla MCHP,SOKURELA - DIANG 2 (DIANG),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL_2026_new,181,2301-2-05017,Old
KOINADUGU,DIANG,Diang Sokuralla MCHP,SOKURELA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,169,2301-2-05016,Old
KOINADUGU,DIANG,Foria CHP,DONDOYA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,85,2301-2-05013,Old
KOINADUGU,DIANG,Foria CHP,FORIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,278,2301-2-05001,Old
KOINADUGU,DIANG,Foria CHP,FORIA (DIANG),"TARABIATUL ISLAMIC COMMUNITY PRIMARY SCHOOL, FORIA_2026_new",196,2301-2-05002,Old
KOINADUGU,DIANG,Kania CHP,FOGO (DIANG),AL-HARRAN ISLANMIC PRIMARY SCHOOL_2026_new,189,2301-2-05009,Old
KOINADUGU,DIANG,Kania CHP,KANIA (DIANG),ANSARUL ISLAMIC PRIMARY SCHOOL_2026_new,74,2301-2-05022,Old
KOINADUGU,DIANG,Kania CHP,KANIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,164,2301-2-05019,Old
KOINADUGU,DIANG,Kondembaia CHC,GBOGOROMA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,139,2301-2-04990,Old
KOINADUGU,DIANG,Kondembaia CHC,KONDEMBAIA (DIANG),SAINT PETER ROAMN CATHOLIC PRIMARY SCHOOL_2026_new,222,2301-2-04995,Old
KOINADUGU,DIANG,Kondembaia CHC,KONDOBAIA (DIANG),ANSARUL ISLAMIC KONDOBAIA_2026_new,163,2301-2-04996,Old
KOINADUGU,DIANG,Kondembaia CHC,MADINA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,80,2301-2-04998,Old
KOINADUGU,DIANG,Kondembaia CHC,SANDIA (DIANG),SANDIA COMMUNITY PRIMARY SCHOOL_2026_new,104,2301-2-04994,Old
KOINADUGU,DIANG,Kondembaia CHC,KUMGUBAMIA,KUMGUBAMIA COMMUNITY PRIMARY SCHOOL_2026_new,122,9999-9-99999,New
KOINADUGU,DIANG,Kondembaia CHC,FULLAH TOWN,ISLAMIC PRIMARY SCHOOL_2026_new,129,9999-9-99999,New
KOINADUGU,DIANG,Lengekoro CHP,KAKUTHUHU (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,200,2301-2-05023,Old
KOINADUGU,DIANG,Lengekoro CHP,LENGEKORO (DIANG),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL_2026_new,200,2301-2-04991,Old
KOINADUGU,DIANG,Lengekoro CHP,KAMAGIMBO,DISTRICT EDUCATION COUNCIL ISLAMIC PRIMARY SCHOOL_2026_new,222,9999-9-99999,New
KOINADUGU,DIANG,Lengekoro CHP,TONKAYA,ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,150,9999-9-99999,New
KOINADUGU,DIANG,Nyawulia MCHP,KOMONKALIA (DIANG),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,111,2301-2-05003,Old
KOINADUGU,DIANG,Nyawulia MCHP,N'YANWULIA (DIANG),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,278,2301-2-05004,Old
KOINADUGU,DIANG,Nyawulia MCHP,KOMBOKALIA,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL_2026_new,134,9999-9-99999,New
KOINADUGU,DIANG,Solia MCHP,SOLIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,137,2301-2-05005,Old
KOINADUGU,DIANG,Waia MCHP,GBONGBORTOR (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,156,2301-2-05018,Old
KOINADUGU,DIANG,Waia MCHP,WAIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,76,2301-2-05020,Old
KOINADUGU,DIANG,Waia MCHP,WOROWAYA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,76,2301-2-05021,Old
KOINADUGU,DIANG,Yarah CHP,YARAH (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,158,2301-2-05011,Old
KOINADUGU,DIANG,Yiben MCHP,YIEBEN (DIANG),SET 4 LIFE PRIMARY SCHOOL_2026_new,194,2301-2-05010,Old
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,HEREMAKONO KAYAKA (GBONKOBON KAYAKA),"ALHARRKAN PRIMARY SCHOOL ,HEREMAKONO_2026_new",69,2302-2-05038,Old
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,KAKARIMA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,137,2302-2-05039,Old
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,SIMBEK (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,238,9999-9-99999,New
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KAMAWAY (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,66,2302-2-05028,Old
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KASASIE (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL_2026_new,158,2302-2-05033,Old
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KASASIE (GBONKOBON KAYAKA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY_2026_new,167,2302-2-05034,Old
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KAYANKAY (GBONKOBON KAYAKA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY_2026_new,106,9999-9-99999,New
